yolov8n.onnx quantization quantization info,2026-09-05 11:13:19
quantization stage,time consumed(s),sub stage,time consumed(s)
pre process,0.82
,,calibration: collect data (onnx inference + numpy statistics),90.34
,,calibration: collect data (onnx inference + numpy statistics),905.05
,,calibration: compute data,0.08
calibration (collect data + compute data),996.22
static quantization,2.81
post process(including finetuning),0.00
e2e,1004.5286262000009

Node Name,Op Type,Activation,Weights,Bias
/model.15/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.15/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.16/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.0/cv2.0.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.0/cv3.0.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.0/cv2.0.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.0/cv3.0.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.19/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.1/cv2.1.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.1/cv3.1.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.1/cv2.1.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.1/cv3.1.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.2/cv2.2.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.2/cv3.2.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.2/cv2.2.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.2/cv3.2.1/act/Sigmoid,HardSigmoid,UINT8,,

Op Type,Activation,Weights,Bias
Conv,UINT8(63),INT8(63),INT8(63)
Mul,UINT8(57),,
Slice,UINT8(16),,
Add,UINT8(6),,
Concat,UINT8(15),,
MaxPool,UINT8(3),,
Resize,UINT8(2),,
Reshape,UINT8(6),,
HardSigmoid,UINT8(57),,

